iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
1;0.0;-267.2;1165.8;0.0;1158.8;1;2;3;4;5
2;-3.93;-377.94;1602.5;0.0;1431.92;33;34;41;46;47
3;0.0;-1092.31;2238.19;0.0;2107.44;21;25;26;38;44
4;0.0;-862.44;1684.46;69.75;1540.76;22;25;27;32;44
5;-8.0;-725.73;1361.72;90.8;1103.13;17;26;32;35;43
6;-10.0;-596.28;1540.01;113.6;1405.43;23;25;28;36;43
7;-10.0;-383.4;1112.56;231.2;951.29;20;27;35;38;43
8;-24.0;-257.21;1154.18;291.42;918.71;3;12;26;32;35
9;0.0;-479.71;1399.74;369.18;1255.67;17;28;39;43;49
10;-1.19;-501.31;1444.67;396.34;1286.41;10;13;15;32;43
11;-1.5;-800.83;1530.26;407.2;1338.57;1;19;24;28;46
12;-3.77;-603.97;1373.56;420.1;1163.59;1;11;24;28;41
13;-4.64;-686.43;1424.65;423.96;1215.31;1;24;28;31;34
14;-0.7;-795.0;1411.73;425.93;1264.74;5;15;24;33;36
15;-7.0;-285.74;1260.18;427.71;1006.48;22;28;36;43;46
16;-7.75;-450.38;1256.25;432.84;1181.0;10;25;28;38;39
17;-7.0;-361.75;1310.64;449.2;976.52;5;10;20;21;28
18;-2.12;-270.8;1253.5;453.77;1035.44;1;5;13;17;25
19;-9.0;-265.0;1165.0;467.72;865.99;1;25;34;41;43
20;-6.0;-301.26;1214.9;474.95;915.2;1;23;39;43;48
21;-13.22;-195.87;1298.25;481.14;749.26;15;20;25;39;48
22;-8.79;-299.79;1364.97;492.45;1042.68;2;17;25;28;41
23;0.0;-382.54;1279.9;514.06;1064.99;25;26;28;33;46
24;-25.23;-316.98;1248.8;519.37;903.32;16;17;28;38;48
25;-19.0;-197.53;1202.8;526.03;782.27;23;27;28;38;46
26;-27.88;-235.41;1329.39;554.06;929.41;21;27;28;29;48
27;-46.0;-168.68;1324.58;569.63;835.47;24;26;29;36;48
28;0.0;-777.12;1361.04;594.53;1143.37;12;24;32;47;49
29;-17.89;-243.49;1285.65;607.16;1066.1;3;12;15;43;46
30;-1.42;-593.91;1279.32;613.89;1046.37;15;24;34;38;47
31;-1.95;-592.72;1278.7;616.89;1057.61;15;24;25;45;47
32;0.0;-573.59;1390.59;625.32;1294.71;2;15;31;47;49
33;0.0;-682.23;1318.03;626.89;1075.98;15;24;31;38;45
34;0.0;-245.26;1316.57;632.38;907.15;12;28;31;38;45
35;-15.96;-278.95;1260.58;637.89;893.02;10;12;15;38;40
36;-3.0;-200.0;1272.84;644.21;882.84;12;28;38;39;48
37;-31.53;-212.29;1240.12;658.89;901.59;10;25;33;43;45
38;-21.24;-231.06;1261.76;666.12;912.41;17;36;38;46;49
39;0.0;-642.38;1462.4;667.15;1246.85;15;17;35;47;49
40;0.0;-323.31;1334.26;670.39;886.05;10;25;35;47;49
41;-0.16;-318.21;1311.53;671.24;885.11;10;35;38;41;49
42;0.0;-260.05;1361.12;673.21;791.72;15;27;34;38;41
43;-13.85;-260.0;1418.69;674.89;790.31;15;35;38;45;46
44;-9.85;-275.92;1368.46;678.32;853.0;3;15;27;38;47
45;-11.35;-560.89;1410.97;680.56;1161.12;15;25;34;38;40
46;-11.0;-203.32;1288.3;681.21;787.6;27;28;38;41;45
47;-8.37;-307.01;1215.81;687.82;901.89;17;24;35;37;47
48;-8.33;-163.67;1240.92;690.32;906.5;1;12;17;27;38
49;-9.15;-276.88;1233.03;693.82;845.52;13;24;26;35;47
50;-8.69;-416.25;1187.98;694.11;900.3;33;38;39;48;49
51;-7.09;-483.77;1205.88;695.93;1003.94;15;25;27;35;39
52;-18.0;-213.0;1159.0;696.32;924.0;3;33;35;38;39
53;-18.0;-213.0;1252.44;696.95;805.04;15;16;20;38;47
54;-13.37;-217.0;1266.72;701.47;789.29;7;28;38;45;46
55;-20.0;-207.0;1215.85;702.31;749.54;20;24;25;35;46
56;-9.16;-216.68;1246.37;703.21;867.74;24;27;32;45;47
57;-24.13;-163.34;1248.97;704.0;776.02;26;28;34;35;46
58;-52.0;-139.67;1314.11;704.89;817.0;10;15;25;27;34
59;-5.47;-386.12;1131.73;710.79;907.32;1;15;26;36;47
60;-39.74;-185.21;1225.32;711.68;766.74;12;20;24;25;35
61;-16.15;-248.77;1228.15;712.05;810.31;28;36;38;39;40
62;-0.31;-397.82;1291.18;713.67;1078.29;23;28;40;43;47
63;-2.44;-376.1;1267.32;713.69;1039.2;3;28;35;41;43
