iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
1;0.0;-267.2;1165.8;0.0;1158.8;1;2;3;4;5
2;0.0;-665.78;1455.41;252.2;1353.64;46;47;48;49;50
3;0.0;-408.25;1568.5;397.4;1409.32;3;4;12;39;47
4;0.0;-827.59;1708.51;0.0;1563.94;17;25;26;32;43
5;0.0;-581.71;1536.16;49.85;1166.19;26;27;28;32;33
6;-15.0;-512.28;1291.36;191.45;1124.19;21;22;28;36;43
7;-9.15;-522.41;1365.14;167.5;1238.92;17;22;27;35;43
8;-10.0;-274.16;1169.42;133.05;845.68;23;25;28;31;35
9;-8.33;-414.51;1233.93;333.53;1152.63;20;21;25;35;38
10;-4.34;-566.94;1355.34;342.0;1073.09;25;28;32;34;41
11;-3.95;-239.98;1231.82;438.47;935.97;11;15;26;27;36
12;0.0;-312.35;1317.67;516.27;1011.93;2;21;33;48;49
13;-14.0;-205.0;1273.32;602.12;934.99;22;26;35;36;41
14;-3.0;-549.44;1340.94;466.63;1102.25;10;28;32;46;49
15;-1.23;-375.73;1295.65;500.27;1047.34;5;10;13;25;28
16;-5.4;-563.36;1280.82;482.66;1174.45;25;28;39;43;46
17;-3.01;-729.3;1368.81;519.89;1292.23;12;28;32;43;47
18;-1.23;-488.76;1227.84;513.76;997.93;17;28;38;46;49
19;-3.5;-335.75;1234.25;509.36;935.44;1;17;28;38;39
20;-8.31;-306.88;1306.97;481.16;1196.52;28;29;33;34;43
21;-25.77;-223.0;1298.69;583.68;977.69;1;13;26;32;46
22;-8.88;-239.0;1266.45;603.65;1051.27;12;17;25;35;38
23;-8.32;-217.0;1459.22;572.08;903.41;10;17;23;28;35
24;-5.61;-272.26;1421.14;644.07;998.96;32;33;38;39;48
25;-2.28;-788.63;1274.92;570.35;1112.06;12;15;38;48;49
26;-19.6;-664.1;1233.77;641.77;965.21;1;20;25;28;48
27;-10.2;-750.6;1218.54;610.59;1020.21;12;26;27;28;49
28;-9.92;-703.34;1197.64;558.83;978.1;5;24;34;38;48
29;-7.87;-517.06;1376.7;685.69;1224.75;12;15;27;46;49
30;-6.23;-500.4;1193.32;657.98;962.61;1;3;28;46;48
31;-17.1;-575.76;1202.53;609.85;1008.05;5;16;34;38;49
32;-18.0;-446.52;1228.7;601.51;939.29;1;15;16;38;45
33;-19.0;-565.27;1231.26;586.85;972.79;1;15;25;30;34
34;-19.76;-478.56;1208.25;648.98;962.37;1;21;28;46;48
35;-16.8;-495.03;1337.95;696.62;1025.25;5;15;16;21;38
36;-4.87;-637.11;1156.07;676.67;990.21;1;12;15;26;33
37;-6.32;-244.71;1218.14;621.24;866.17;15;27;32;34;47
38;-2.26;-718.42;1278.2;669.68;1077.3;3;15;33;38;49
39;-17.0;-493.52;1266.78;652.37;1082.43;7;34;43;46;48
40;-1.63;-540.45;1212.86;616.68;911.78;1;15;20;33;38
41;-22.5;-487.5;1287.74;611.36;946.88;1;3;16;28;38
42;-31.55;-176.18;1223.45;645.01;823.45;3;27;38;46;49
43;-9.0;-261.56;1273.94;619.18;1116.56;27;32;34;45;48
44;-3.68;-195.25;1177.48;627.24;772.93;28;38;41;45;48
45;-16.26;-258.95;1261.12;698.98;891.2;12;27;28;38;41
46;-35.84;-236.89;1193.86;666.0;847.93;16;20;26;28;48
47;-46.08;-201.75;1395.5;666.17;901.83;1;21;25;34;48
48;-15.0;-198.0;1336.0;698.87;857.0;15;20;33;38;41
49;-22.86;-431.87;1271.12;666.26;988.84;27;28;34;39;49
50;-19.75;-486.82;1299.11;679.64;1081.22;15;36;39;48;49
51;-21.82;-413.29;1235.79;700.26;971.68;1;20;24;27;39
52;-12.89;-579.23;1174.53;702.64;1003.08;15;21;28;35;39
53;-16.0;-286.0;1308.0;667.05;957.67;15;27;39;43;45
54;-24.89;-272.32;1233.47;692.58;865.32;12;32;35;36;49
55;-7.0;-589.54;1297.39;675.54;1078.04;16;24;28;36;38
56;-30.0;-200.58;1280.16;681.66;784.74;12;15;20;35;38
57;-30.0;-204.25;1293.92;698.53;796.42;10;15;35;36;38
58;-49.0;-201.0;1301.23;706.67;820.23;26;35;36;39;49
59;-17.0;-218.0;1256.0;706.58;750.31;24;35;36;38;46
60;-44.77;-201.0;1302.5;710.42;776.73;10;20;24;27;38
61;-29.16;-196.0;1301.58;731.63;794.42;12;35;36;38;43
